time_window,source_node,route_id,packets_sent,packets_lost,loss_rate,utilization,traffic_rate_kbps
0,0,route_0_to_9,48,4,0.0833333,0.0161587,200
0,1,route_1_to_9,48,0,0,0.0161587,200
0,5,route_5_to_9,9,0,0,0.00013824,200
0,2,route_2_to_9,48,0,0,0.0161587,200
0,8,route_8_to_9,1,0,0,1.536e-05,200
0,3,route_3_to_9,48,0,0,0.0161587,200
0,4,route_4_to_9,48,0,0,0.0161587,200
0,5,route_5_to_9,48,0,0,0.0161587,200
0,6,route_6_to_9,48,0,0,0.0161587,200
0,7,route_7_to_9,48,20,0.416667,0.0161587,200
0,8,route_8_to_9,48,0,0,0.0161587,200
1,0,route_0_to_9,74,0,0,0.0249114,200
1,1,route_1_to_9,71,0,0,0.0239014,200
1,2,route_2_to_9,69,0,0,0.0232282,200
1,3,route_3_to_9,66,0,0,0.0222182,200
1,4,route_4_to_9,64,0,0,0.021545,200
1,5,route_5_to_9,61,0,0,0.020535,200
1,6,route_6_to_9,59,0,0,0.0198618,200
1,7,route_7_to_9,56,0,0,0.0188518,200
1,8,route_8_to_9,54,0,0,0.0181786,200
2,0,route_0_to_9,48,0,0,0.0161587,200
2,1,route_1_to_9,51,0,0,0.0171686,200
2,2,route_2_to_9,53,0,0,0.0178419,200
2,3,route_3_to_9,56,0,0,0.0188518,200
2,4,route_4_to_9,58,0,0,0.0195251,200
2,5,route_5_to_9,61,0,0,0.020535,200
2,6,route_6_to_9,63,0,0,0.0212083,200
2,7,route_7_to_9,66,0,0,0.0222182,200
2,8,route_8_to_9,68,0,0,0.0228915,200
3,0,route_0_to_9,74,0,0,0.0249114,200
3,1,route_1_to_9,71,0,0,0.0239014,200
3,2,route_2_to_9,69,0,0,0.0232282,200
3,3,route_3_to_9,66,0,0,0.0222182,200
3,4,route_4_to_9,64,0,0,0.021545,200
3,5,route_5_to_9,61,0,0,0.020535,200
3,6,route_6_to_9,59,0,0,0.0198618,200
3,7,route_7_to_9,57,0,0,0.0191885,200
3,8,route_8_to_9,54,0,0,0.0181786,200
4,0,route_0_to_9,48,0,0,0.0161587,200
4,1,route_1_to_9,51,0,0,0.0171686,200
