time_window,source_node,route_id,packets_sent,packets_lost,loss_rate,utilization,traffic_rate_kbps,avg_hops
0,0,route_0_to_9,179,0,0,0.0602586,391.277,2.00559
0,4,route_4_to_9,3,0,0,4.608e-05,391.277,1
0,5,route_5_to_9,3,0,0,4.608e-05,391.277,1
0,1,route_1_to_9,61,61,1,0.020535,391.277,0
0,6,route_6_to_9,3,3,1,4.608e-05,391.277,0
0,2,route_2_to_9,18,1,0.0555556,0.00605952,391.277,2
1,0,route_0_to_9,162,0,0,0.0545357,300,2
1,5,route_5_to_9,1,0,0,1.536e-05,300,1
1,1,route_1_to_9,138,138,1,0.0464563,300,0
1,6,route_6_to_9,1,1,1,1.536e-05,300,0
1,2,route_2_to_9,102,0,0,0.0343373,300,2
1,4,route_4_to_9,145,0,0,0.0488128,300,1
1,3,route_3_to_9,85,82,0.964706,0.0286144,300,4
1,5,route_5_to_9,40,0,0,0.0134656,300,1
1,6,route_6_to_9,27,27,1,0.00908928,300,0
2,0,route_0_to_9,94,0,0,0.0316442,374.664,2
2,5,route_5_to_9,1,0,0,1.536e-05,374.664,1
2,1,route_1_to_9,159,159,1,0.0535258,374.664,0
2,6,route_6_to_9,2,2,1,3.072e-05,374.664,0
2,2,route_2_to_9,228,0,0,0.0767539,374.664,2
2,4,route_4_to_9,186,0,0,0.062615,374.664,1
2,3,route_3_to_9,217,217,1,0.0730509,374.664,0
2,5,route_5_to_9,222,0,0,0.0747341,374.664,1
2,6,route_6_to_9,168,168,1,0.0565555,374.664,0
2,7,route_7_to_9,61,61,1,0.020535,374.664,0
2,8,route_8_to_9,41,0,0,0.0138022,374.664,1
3,0,route_0_to_9,308,2,0.00649351,0.103685,503.51,2.00327
3,4,route_4_to_9,8,0,0,0.00012288,503.51,1
3,5,route_5_to_9,13,0,0,0.00019968,503.51,1
3,1,route_1_to_9,307,67,0.218241,0.103348,503.51,2.0125
3,6,route_6_to_9,12,12,1,0.00018432,503.51,0
3,2,route_2_to_9,274,0,0,0.0922394,503.51,2
3,4,route_4_to_9,269,0,0,0.0905562,503.51,1
3,3,route_3_to_9,201,200,0.995025,0.0676646,503.51,4
3,5,route_5_to_9,258,0,0,0.0868531,503.51,1
3,6,route_6_to_9,254,254,1,0.0855066,503.51,0
3,7,route_7_to_9,163,161,0.98773,0.0548723,503.51,4
3,8,route_8_to_9,232,2,0.00862069,0.0781005,503.51,1.01304
4,0,route_0_to_9,44,0,0,0.0148122,498.866,2
4,4,route_4_to_9,1,0,0,1.536e-05,498.866,1
4,5,route_5_to_9,1,0,0,1.536e-05,498.866,1
4,1,route_1_to_9,273,0,0,0.0919027,498.866,2
4,6,route_6_to_9,2,2,1,3.072e-05,498.866,0
4,2,route_2_to_9,53,0,0,0.0178419,498.866,2
4,4,route_4_to_9,235,0,0,0.0791104,498.866,1
4,3,route_3_to_9,281,281,1,0.0945958,498.866,0
4,5,route_5_to_9,288,0,0,0.0969523,498.866,1
4,6,route_6_to_9,196,196,1,0.0659814,498.866,0
4,7,route_7_to_9,58,58,1,0.0195251,498.866,0
4,8,route_8_to_9,215,0,0,0.0723776,498.866,1
5,0,route_0_to_9,164,0,0,0.055209,370.148,2
5,1,route_1_to_9,111,0,0,0.037367,370.148,2
5,2,route_2_to_9,145,0,0,0.0488128,370.148,2
5,4,route_4_to_9,215,0,0,0.0723776,370.148,1
5,3,route_3_to_9,226,226,1,0.0760806,370.148,0
5,5,route_5_to_9,163,0,0,0.0548723,370.148,1
5,6,route_6_to_9,155,155,1,0.0521792,370.148,0
5,7,route_7_to_9,136,136,1,0.045783,370.148,0
5,8,route_8_to_9,226,0,0,0.0760806,370.148,1
6,0,route_0_to_9,229,2,0.00873362,0.0770906,454.232,2
6,4,route_4_to_9,3,0,0,4.608e-05,454.232,1
6,5,route_5_to_9,2,0,0,3.072e-05,454.232,1
6,1,route_1_to_9,178,0,0,0.0599219,454.232,2
6,6,route_6_to_9,3,3,1,4.608e-05,454.232,0
6,2,route_2_to_9,183,175,0.956284,0.0616051,454.232,2
6,4,route_4_to_9,163,0,0,0.0548723,454.232,1
6,3,route_3_to_9,267,267,1,0.0898829,454.232,0
6,5,route_5_to_9,236,0,0,0.079447,454.232,1
6,6,route_6_to_9,106,106,1,0.0356838,454.232,0
6,7,route_7_to_9,242,242,1,0.0814669,454.232,0
6,8,route_8_to_9,146,0,0,0.0491494,454.232,1
7,0,route_0_to_9,39,0,0,0.013129,401.867,2.02564
7,4,route_4_to_9,3,0,0,4.608e-05,401.867,1
7,5,route_5_to_9,2,0,0,3.072e-05,401.867,1
7,1,route_1_to_9,114,0,0,0.038377,401.867,2
