time_window,source_node,route_id,packets_sent,packets_lost,loss_rate,utilization,traffic_rate_kbps,avg_hops
0,0,route_0_to_9,211,0,0,0.071031,430.039,2
0,1,route_1_to_9,31,0,0,0.0104358,430.039,2
1,0,route_0_to_9,185,0,0,0.0622784,562.951,2
1,1,route_1_to_9,213,0,0,0.0717043,562.951,2
1,3,route_3_to_9,109,0,0,0.0366938,562.951,2
1,2,route_2_to_9,267,0,0,0.0898829,562.951,2
1,4,route_4_to_9,208,0,0,0.0700211,562.951,1
1,5,route_5_to_9,11,0,0,0.00370304,562.951,1
2,0,route_0_to_9,95,0,0,0.0319808,469.68,2
2,1,route_1_to_9,100,1,0.01,0.033664,469.68,2
2,3,route_3_to_9,287,0,0,0.0966157,469.68,2
2,2,route_2_to_9,236,0,0,0.079447,469.68,2
2,4,route_4_to_9,152,0,0,0.0511693,469.68,1
2,5,route_5_to_9,117,0,0,0.0393869,469.68,1
2,6,route_6_to_9,243,0,0,0.0818035,469.68,1
2,8,route_8_to_9,141,1,0.0070922,0.0474662,469.68,1
2,7,route_7_to_9,92,55,0.597826,0.0309709,469.68,2
3,0,route_0_to_9,189,0,0,0.063625,466.477,2
3,1,route_1_to_9,147,0,0,0.0494861,466.477,2
3,3,route_3_to_9,161,1,0.00621118,0.054199,466.477,2
3,2,route_2_to_9,143,0,0,0.0481395,466.477,2
3,4,route_4_to_9,279,0,0,0.0939226,466.477,1
3,5,route_5_to_9,256,0,0,0.0861798,466.477,1
3,6,route_6_to_9,193,0,0,0.0649715,466.477,1
3,8,route_8_to_9,285,3,0.0105263,0.0959424,466.477,1
3,7,route_7_to_9,138,0,0,0.0464563,466.477,2
4,0,route_0_to_9,264,0,0,0.088873,451.826,2
4,1,route_1_to_9,175,0,0,0.058912,451.826,2
4,3,route_3_to_9,81,0,0,0.0272678,451.826,2
4,2,route_2_to_9,155,1,0.00645161,0.0521792,451.826,2
4,4,route_4_to_9,105,0,0,0.0353472,451.826,1
4,5,route_5_to_9,272,0,0,0.0915661,451.826,1
4,6,route_6_to_9,134,0,0,0.0451098,451.826,1
4,8,route_8_to_9,211,2,0.00947867,0.071031,451.826,1
4,7,route_7_to_9,274,0,0,0.0922394,451.826,2
5,0,route_0_to_9,177,0,0,0.0595853,309.124,2
5,1,route_1_to_9,104,0,0,0.0350106,309.124,2
5,3,route_3_to_9,178,0,0,0.0599219,309.124,2
5,2,route_2_to_9,144,0,0,0.0484762,309.124,2
5,4,route_4_to_9,119,0,0,0.0400602,309.124,1
5,5,route_5_to_9,90,0,0,0.0302976,309.124,1
5,6,route_6_to_9,41,0,0,0.0138022,309.124,1
5,8,route_8_to_9,158,3,0.0189873,0.0531891,309.124,1
5,7,route_7_to_9,102,2,0.0196078,0.0343373,309.124,2
6,0,route_0_to_9,144,0,0,0.0484762,300,2
6,1,route_1_to_9,42,0,0,0.0141389,300,2
6,3,route_3_to_9,132,0,0,0.0444365,300,2
6,2,route_2_to_9,183,0,0,0.0616051,300,2
6,4,route_4_to_9,113,0,0,0.0380403,300,1
6,5,route_5_to_9,125,0,0,0.04208,300,1
6,6,route_6_to_9,168,0,0,0.0565555,300,1
6,8,route_8_to_9,149,0,0,0.0501594,300,1
6,7,route_7_to_9,58,0,0,0.0195251,300,2
7,0,route_0_to_9,239,0,0,0.080457,439.594,2
