time_window,source_node,route_id,packets_sent,packets_lost,loss_rate,utilization,traffic_rate_kbps
0,0,route_0_to_9,61,0,0,0.020535,200
0,4,route_4_to_9,2,0,0,3.072e-05,200
0,5,route_5_to_9,6,0,0,8.64e-05,200
0,1,route_1_to_9,20,0,0,0.0067328,200
0,6,route_6_to_9,4,0,0,6.144e-05,200
0,2,route_2_to_9,32,0,0,0.0107725,200
0,3,route_3_to_9,7,0,0,0.00235648,200
1,0,route_0_to_9,53,0,0,0.0178419,200
1,1,route_1_to_9,27,0,0,0.00908928,200
1,2,route_2_to_9,77,0,0,0.0259213,200
1,3,route_3_to_9,86,0,0,0.028951,200
1,4,route_4_to_9,82,0,0,0.0276045,200
1,5,route_5_to_9,42,0,0,0.0141389,200
1,6,route_6_to_9,23,0,0,0.00774272,200
2,0,route_0_to_9,78,0,0,0.0262579,200
2,4,route_4_to_9,1,0,0,1.536e-05,200
2,5,route_5_to_9,4,0,0,6.144e-05,200
2,1,route_1_to_9,30,0,0,0.0100992,200
2,6,route_6_to_9,3,0,0,4.608e-05,200
2,2,route_2_to_9,74,0,0,0.0249114,200
2,3,route_3_to_9,77,0,0,0.0259213,200
2,4,route_4_to_9,104,0,0,0.0350106,200
2,5,route_5_to_9,110,0,0,0.0370304,200
2,6,route_6_to_9,57,1,0.0175439,0.0191885,200
2,7,route_7_to_9,69,1,0.0144928,0.0232282,200
3,0,route_0_to_9,65,0,0,0.0218816,200
3,1,route_1_to_9,59,0,0,0.0198618,200
3,2,route_2_to_9,108,0,0,0.0363571,200
3,3,route_3_to_9,58,0,0,0.0195251,200
3,4,route_4_to_9,78,0,0,0.0262579,200
3,5,route_5_to_9,14,0,0,0.00471296,200
3,6,route_6_to_9,86,0,0,0.028951,200
3,7,route_7_to_9,75,0,0,0.025248,200
3,8,route_8_to_9,51,0,0,0.0171686,200
4,0,route_0_to_9,122,0,0,0.0410701,200
4,5,route_5_to_9,1,0,0,1.536e-05,200
4,1,route_1_to_9,107,0,0,0.0360205,200
4,6,route_6_to_9,2,0,0,3.072e-05,200
4,2,route_2_to_9,16,0,0,0.00538624,200
4,3,route_3_to_9,55,0,0,0.0185152,200
4,4,route_4_to_9,109,0,0,0.0366938,200
4,5,route_5_to_9,75,0,0,0.025248,200
4,6,route_6_to_9,99,0,0,0.0333274,200
4,7,route_7_to_9,112,0,0,0.0377037,200
4,8,route_8_to_9,106,0,0,0.0356838,200
5,0,route_0_to_9,61,0,0,0.020535,200
5,5,route_5_to_9,2,0,0,3.072e-05,200
5,1,route_1_to_9,120,0,0,0.0403968,200
5,6,route_6_to_9,3,0,0,4.608e-05,200
5,2,route_2_to_9,97,0,0,0.0326541,200
5,3,route_3_to_9,100,0,0,0.033664,200
5,4,route_4_to_9,79,0,0,0.0265946,200
5,5,route_5_to_9,84,0,0,0.0282778,200
5,6,route_6_to_9,17,0,0,0.00572288,200
5,7,route_7_to_9,84,0,0,0.0282778,200
5,8,route_8_to_9,119,0,0,0.0400602,200
6,0,route_0_to_9,92,0,0,0.0309709,200
6,4,route_4_to_9,2,0,0,3.072e-05,200
6,5,route_5_to_9,3,0,0,4.608e-05,200
6,1,route_1_to_9,22,0,0,0.00740608,200
6,6,route_6_to_9,5,0,0,7.68e-05,200
6,2,route_2_to_9,23,0,0,0.00774272,200
6,3,route_3_to_9,117,0,0,0.0393869,200
6,4,route_4_to_9,98,0,0,0.0329907,200
6,5,route_5_to_9,33,0,0,0.0111091,200
6,6,route_6_to_9,114,0,0,0.038377,200
6,7,route_7_to_9,115,1,0.00869565,0.0387136,200
6,8,route_8_to_9,75,0,0,0.025248,200
7,0,route_0_to_9,95,0,0,0.0319808,200
7,4,route_4_to_9,1,0,0,1.536e-05,200
7,5,route_5_to_9,3,0,0,4.608e-05,200
7,1,route_1_to_9,66,0,0,0.0222182,200
7,6,route_6_to_9,1,0,0,1.536e-05,200
7,2,route_2_to_9,122,0,0,0.0410701,200
7,3,route_3_to_9,77,0,0,0.0259213,200
7,4,route_4_to_9,59,0,0,0.0198618,200
7,5,route_5_to_9,63,0,0,0.0212083,200
7,6,route_6_to_9,71,0,0,0.0239014,200
7,7,route_7_to_9,107,0,0,0.0360205,200
7,8,route_8_to_9,68,0,0,0.0228915,200
8,0,route_0_to_9,75,0,0,0.025248,200
8,4,route_4_to_9,1,0,0,1.536e-05,200
8,5,route_5_to_9,5,0,0,7.104e-05,200
8,1,route_1_to_9,99,0,0,0.0333274,200
8,6,route_6_to_9,3,0,0,4.608e-05,200
8,2,route_2_to_9,99,0,0,0.0333274,200
8,3,route_3_to_9,31,0,0,0.0104358,200
8,4,route_4_to_9,98,0,0,0.0329907,200
8,5,route_5_to_9,53,0,0,0.0178419,200
8,6,route_6_to_9,57,0,0,0.0191885,200
8,7,route_7_to_9,100,0,0,0.033664,200
8,8,route_8_to_9,111,0,0,0.037367,200
9,0,route_0_to_9,41,0,0,0.0138022,200
9,4,route_4_to_9,1,0,0,1.536e-05,200
9,5,route_5_to_9,4,0,0,6.144e-05,200
9,1,route_1_to_9,75,0,0,0.025248,200
9,6,route_6_to_9,4,0,0,6.144e-05,200
9,2,route_2_to_9,90,0,0,0.0302976,200
9,3,route_3_to_9,78,0,0,0.0262579,200
9,4,route_4_to_9,39,0,0,0.013129,200
9,5,route_5_to_9,113,0,0,0.0380403,200
9,6,route_6_to_9,102,0,0,0.0343373,200
9,7,route_7_to_9,122,0,0,0.0410701,200
9,8,route_8_to_9,88,0,0,0.0296243,200
10,0,route_0_to_9,47,0,0,0.0158221,200
10,4,route_4_to_9,1,0,0,1.536e-05,200
10,5,route_5_to_9,2,0,0,3.072e-05,200
10,1,route_1_to_9,81,0,0,0.0272678,200
10,2,route_2_to_9,77,0,0,0.0259213,200
10,3,route_3_to_9,74,0,0,0.0249114,200
10,4,route_4_to_9,63,0,0,0.0212083,200
10,5,route_5_to_9,95,0,0,0.0319808,200
10,6,route_6_to_9,65,0,0,0.0218816,200
10,7,route_7_to_9,123,1,0.00813008,0.0414067,200
10,8,route_8_to_9,47,1,0.0212766,0.0158221,200
11,0,route_0_to_9,91,0,0,0.0306342,2401.53
11,1,route_1_to_9,103,0,0,0.0346739,2401.53
11,2,route_2_to_9,115,0,0,0.0387136,2401.53
11,3,route_3_to_9,72,0,0,0.0242381,2401.53
11,4,route_4_to_9,21,0,0,0.00706944,2401.53
11,5,route_5_to_9,106,0,0,0.0356838,2401.53
11,6,route_6_to_9,48,0,0,0.0161587,2401.53
11,7,route_7_to_9,73,0,0,0.0245747,2401.53
11,8,route_8_to_9,118,0,0,0.0397235,2401.53
12,0,route_0_to_9,992,938,0.945565,0.333947,2401.53
12,4,route_4_to_9,33,14,0.424242,0.000512,2401.53
