time_window,source_node,route_id,packets_sent,packets_lost,loss_rate,utilization,traffic_rate_kbps
0,0,route_0_to_9,63,0,0,0.0212083,200
0,2,route_2_to_9,12,0,0,0.00403968,200
0,1,route_1_to_9,7,0,0,0.00235648,200
0,3,route_3_to_9,1,1,1,0.00033664,200
1,0,route_0_to_9,114,0,0,0.038377,200
1,2,route_2_to_9,43,0,0,0.0144755,200
1,1,route_1_to_9,70,0,0,0.0235648,200
1,3,route_3_to_9,87,0,0,0.0292877,200
1,4,route_4_to_9,18,0,0,0.00605952,200
1,5,route_5_to_9,41,0,0,0.0138022,200
1,6,route_6_to_9,17,0,0,0.00572288,200
2,0,route_0_to_9,108,0,0,0.0363571,200
2,2,route_2_to_9,46,0,0,0.0154854,200
2,1,route_1_to_9,75,0,0,0.025248,200
2,3,route_3_to_9,122,0,0,0.0410701,200
2,4,route_4_to_9,119,0,0,0.0400602,200
2,5,route_5_to_9,92,0,0,0.0309709,200
2,6,route_6_to_9,14,0,0,0.00471296,200
2,7,route_7_to_9,70,0,0,0.0235648,200
2,8,route_8_to_9,57,0,0,0.0191885,200
3,0,route_0_to_9,55,0,0,0.0185152,200
3,2,route_2_to_9,109,0,0,0.0366938,200
3,1,route_1_to_9,107,0,0,0.0360205,200
3,3,route_3_to_9,86,0,0,0.028951,200
3,4,route_4_to_9,103,0,0,0.0346739,200
3,5,route_5_to_9,78,0,0,0.0262579,200
3,6,route_6_to_9,83,0,0,0.0279411,200
3,7,route_7_to_9,104,0,0,0.0350106,200
3,8,route_8_to_9,55,0,0,0.0185152,200
4,0,route_0_to_9,86,0,0,0.028951,200
4,2,route_2_to_9,36,0,0,0.012119,200
4,1,route_1_to_9,104,0,0,0.0350106,200
4,3,route_3_to_9,40,0,0,0.0134656,200
4,4,route_4_to_9,70,0,0,0.0235648,200
4,5,route_5_to_9,87,0,0,0.0292877,200
4,6,route_6_to_9,77,0,0,0.0259213,200
4,7,route_7_to_9,122,0,0,0.0410701,200
4,8,route_8_to_9,91,0,0,0.0306342,200
5,0,route_0_to_9,93,0,0,0.0313075,200
5,2,route_2_to_9,21,0,0,0.00706944,200
5,1,route_1_to_9,121,0,0,0.0407334,200
5,3,route_3_to_9,123,0,0,0.0414067,200
5,4,route_4_to_9,56,0,0,0.0188518,200
5,5,route_5_to_9,53,0,0,0.0178419,200
5,6,route_6_to_9,96,0,0,0.0323174,200
5,7,route_7_to_9,122,0,0,0.0410701,200
5,8,route_8_to_9,81,0,0,0.0272678,200
6,0,route_0_to_9,76,0,0,0.0255846,200
6,2,route_2_to_9,109,0,0,0.0366938,200
6,1,route_1_to_9,121,0,0,0.0407334,200
6,3,route_3_to_9,89,0,0,0.029961,200
6,4,route_4_to_9,101,0,0,0.0340006,200
6,5,route_5_to_9,73,0,0,0.0245747,200
6,6,route_6_to_9,91,0,0,0.0306342,200
6,7,route_7_to_9,95,0,0,0.0319808,200
6,8,route_8_to_9,29,0,0,0.00976256,200
7,0,route_0_to_9,93,0,0,0.0313075,200
7,2,route_2_to_9,113,0,0,0.0380403,200
7,1,route_1_to_9,112,0,0,0.0377037,200
7,3,route_3_to_9,76,0,0,0.0255846,200
7,4,route_4_to_9,115,0,0,0.0387136,200
7,5,route_5_to_9,87,0,0,0.0292877,200
7,6,route_6_to_9,82,0,0,0.0276045,200
7,7,route_7_to_9,98,0,0,0.0329907,200
7,8,route_8_to_9,69,0,0,0.0232282,200
8,0,route_0_to_9,106,0,0,0.0356838,200
8,2,route_2_to_9,76,0,0,0.0255846,200
8,1,route_1_to_9,87,0,0,0.0292877,200
8,3,route_3_to_9,59,0,0,0.0198618,200
8,4,route_4_to_9,76,0,0,0.0255846,200
8,5,route_5_to_9,89,0,0,0.029961,200
8,6,route_6_to_9,87,0,0,0.0292877,200
8,7,route_7_to_9,107,0,0,0.0360205,200
8,8,route_8_to_9,89,0,0,0.029961,200
9,0,route_0_to_9,65,0,0,0.0218816,200
9,2,route_2_to_9,95,0,0,0.0319808,200
9,1,route_1_to_9,57,0,0,0.0191885,200
9,3,route_3_to_9,66,0,0,0.0222182,200
9,4,route_4_to_9,97,0,0,0.0326541,200
9,5,route_5_to_9,86,0,0,0.028951,200
9,6,route_6_to_9,108,0,0,0.0363571,200
9,7,route_7_to_9,43,0,0,0.0144755,200
9,8,route_8_to_9,118,0,0,0.0397235,200
10,0,route_0_to_9,108,0,0,0.0363571,200
10,2,route_2_to_9,37,0,0,0.0124557,200
10,1,route_1_to_9,93,0,0,0.0313075,200
10,3,route_3_to_9,68,0,0,0.0228915,200
10,4,route_4_to_9,94,0,0,0.0316442,200
10,5,route_5_to_9,68,0,0,0.0228915,200
10,6,route_6_to_9,97,0,0,0.0326541,200
10,7,route_7_to_9,81,0,0,0.0272678,200
10,8,route_8_to_9,61,0,0,0.020535,200
11,0,route_0_to_9,93,0,0,0.0313075,1947.55
11,1,route_1_to_9,61,0,0,0.020535,1947.55
11,3,route_3_to_9,79,0,0,0.0265946,1947.55
11,4,route_4_to_9,62,0,0,0.0208717,1947.55
11,5,route_5_to_9,98,0,0,0.0329907,1947.55
11,6,route_6_to_9,74,0,0,0.0249114,1947.55
11,7,route_7_to_9,71,0,0,0.0239014,1947.55
11,8,route_8_to_9,92,0,0,0.0309709,1947.55
12,0,route_0_to_9,212,198,0.933962,0.0713677,1947.55
12,2,route_2_to_9,503,468,0.930417,0.16933,1947.55
12,1,route_1_to_9,740,667,0.901351,0.249114,1947.55
12,3,route_3_to_9,659,638,0.968134,0.221846,1947.55
12,4,route_4_to_9,751,229,0.304927,0.252817,1947.55
12,5,route_5_to_9,1058,458,0.432892,0.356165,1947.55
12,6,route_6_to_9,933,659,0.706324,0.314085,1947.55
12,7,route_7_to_9,1178,941,0.798812,0.396562,1947.55
12,8,route_8_to_9,1115,138,0.123767,0.375354,1947.55
13,0,route_0_to_9,280,258,0.921429,0.0942592,1947.55
13,2,route_2_to_9,1049,926,0.882745,0.353135,1947.55
13,1,route_1_to_9,974,793,0.814168,0.327887,1947.55
13,3,route_3_to_9,1128,981,0.869681,0.37973,1947.55
13,4,route_4_to_9,699,173,0.247496,0.235311,1947.55
13,5,route_5_to_9,883,764,0.865232,0.297253,1947.55
13,6,route_6_to_9,645,381,0.590698,0.217133,1947.55
13,7,route_7_to_9,658,483,0.734043,0.221509,1947.55
13,8,route_8_to_9,509,78,0.153242,0.17135,1947.55
14,0,route_0_to_9,1006,1006,1,0.33866,1947.55
14,2,route_2_to_9,947,849,0.896515,0.318798,1947.55
14,1,route_1_to_9,1076,778,0.723048,0.362225,1947.55
14,3,route_3_to_9,606,568,0.937294,0.204004,1947.55
14,4,route_4_to_9,743,380,0.51144,0.250124,1947.55
14,5,route_5_to_9,222,97,0.436937,0.0747341,1947.55
14,6,route_6_to_9,1188,934,0.786195,0.399928,1947.55
14,7,route_7_to_9,1092,1017,0.931319,0.367611,1947.55
14,8,route_8_to_9,773,130,0.168176,0.260223,1947.55
15,0,route_0_to_9,1189,1189,1,0.400265,1947.55
15,2,route_2_to_9,546,249,0.456044,0.183805,1947.55
15,1,route_1_to_9,75,0,0,0.025248,1947.55
15,3,route_3_to_9,447,239,0.534676,0.150478,1947.55
15,4,route_4_to_9,504,16,0.031746,0.169667,1947.55
15,5,route_5_to_9,998,27,0.0270541,0.335967,1947.55
15,6,route_6_to_9,974,409,0.419918,0.327887,1947.55
15,7,route_7_to_9,570,332,0.582456,0.191885,1947.55
15,8,route_8_to_9,300,34,0.113333,0.100992,1947.55
16,0,route_0_to_9,1189,1072,0.901598,0.400265,1947.55
16,2,route_2_to_9,703,586,0.83357,0.236658,1947.55
16,1,route_1_to_9,811,792,0.976572,0.273015,1947.55
16,3,route_3_to_9,919,812,0.883569,0.309372,1947.55
16,4,route_4_to_9,788,420,0.532995,0.265272,1947.55
16,5,route_5_to_9,720,390,0.541667,0.242381,1947.55
16,6,route_6_to_9,1026,716,0.697856,0.345393,1947.55
16,7,route_7_to_9,639,543,0.849765,0.215113,1947.55
16,8,route_8_to_9,759,100,0.131752,0.25551,1947.55
